2022-07-01 16:54:17,380 | INFO | Check successful
2022-07-01 16:54:26,845 | INFO | -2.273022E-06
2022-07-01 16:54:26,886 | INFO | -1.995897E-06
2022-07-01 16:54:26,926 | INFO | -2.127010E-06
2022-07-01 16:54:26,983 | INFO | -2.027185E-06
2022-07-01 16:54:27,025 | INFO | -2.302820E-06
2022-07-01 16:54:27,084 | INFO | -2.115090E-06
2022-07-01 16:54:27,126 | INFO | -2.095721E-06
2022-07-01 16:54:27,169 | INFO | -2.162768E-06
2022-07-01 16:54:27,227 | INFO | -2.189586E-06
2022-07-01 16:54:27,266 | INFO | -1.969078E-06
2022-07-01 16:54:27,326 | INFO | -2.101681E-06
2022-07-01 16:54:27,367 | INFO | -2.094231E-06
2022-07-01 16:54:27,408 | INFO | -2.112110E-06
2022-07-01 16:54:27,474 | INFO | -1.866274E-06
2022-07-01 16:54:27,516 | INFO | -1.946730E-06
2022-07-01 16:54:27,583 | INFO | -2.056984E-06
2022-07-01 16:54:27,625 | INFO | -2.122540E-06
2022-07-01 16:54:27,666 | INFO | -2.027185E-06
2022-07-01 16:54:27,725 | INFO | -2.118070E-06
2022-07-01 16:54:27,765 | INFO | -2.267062E-06
2022-07-01 16:54:27,834 | INFO | -2.319209E-06
2022-07-01 16:54:27,874 | INFO | -2.542697E-06
2022-07-01 16:54:27,922 | INFO | -2.106151E-06
2022-07-01 16:54:27,985 | INFO | -2.228324E-06
2022-07-01 16:54:28,026 | INFO | -1.945240E-06
2022-07-01 16:54:28,088 | INFO | -1.910972E-06
2022-07-01 16:54:28,136 | INFO | -2.119560E-06
2022-07-01 16:54:28,182 | INFO | -2.118070E-06
2022-07-01 16:54:28,240 | INFO | -2.201506E-06
2022-07-01 16:54:28,292 | INFO | -2.177667E-06
2022-07-01 16:54:28,350 | INFO | -1.997387E-06
2022-07-01 16:54:28,391 | INFO | -2.153828E-06
2022-07-01 16:54:28,431 | INFO | -2.340068E-06
2022-07-01 16:54:28,491 | INFO | -2.199793E-06
2022-07-01 16:54:28,531 | INFO | -2.006103E-06
2022-07-01 16:54:28,590 | INFO | -2.214692E-06
2022-07-01 16:54:28,629 | INFO | -2.301107E-06
2022-07-01 16:54:28,678 | INFO | -2.338355E-06
2022-07-01 16:54:28,737 | INFO | -2.347295E-06
2022-07-01 16:54:28,777 | INFO | -2.207242E-06
2022-07-01 16:54:28,834 | INFO | -2.316007E-06
2022-07-01 16:54:28,876 | INFO | -2.015043E-06
2022-07-01 16:54:28,915 | INFO | -2.220652E-06
2022-07-01 16:54:28,973 | INFO | -2.129767E-06
2022-07-01 16:54:29,013 | INFO | -2.569293E-06
2022-07-01 16:54:29,073 | INFO | -2.053781E-06
2022-07-01 16:54:29,117 | INFO | -2.479898E-06
2022-07-01 16:54:29,165 | INFO | -2.375603E-06
2022-07-01 16:54:29,227 | INFO | -2.409871E-06
2022-07-01 16:54:29,268 | INFO | -2.052291E-06
2022-07-01 16:54:29,329 | INFO | -2.041861E-06
2022-07-01 16:54:29,372 | INFO | -2.003124E-06
2022-07-01 16:54:29,416 | INFO | -2.205753E-06
2022-07-01 16:54:29,479 | INFO | -2.034784E-06
2022-07-01 16:54:29,521 | INFO | -2.128649E-06
2022-07-01 16:54:29,587 | INFO | -2.426633E-06
2022-07-01 16:54:29,633 | INFO | -2.152488E-06
2022-07-01 16:54:29,675 | INFO | -1.978168E-06
2022-07-01 16:54:29,739 | INFO | -2.282111E-06
2022-07-01 16:54:29,782 | INFO | -2.137589E-06
2022-07-01 16:54:29,840 | INFO | -2.364056E-06
2022-07-01 16:54:29,883 | INFO | -2.343198E-06
2022-07-01 16:54:29,933 | INFO | -2.088422E-06
